"","genes","logFC","logCPM","F","PValue","FDR"
"ENSG00000123485","ENSG00000123485",3.30546933136426,3.01157196610271,131.749399113034,6.1933503288557e-12,1.05085510829444e-07
"ENSG00000178999","ENSG00000178999",3.24943131058141,3.40090237899018,133.936073719656,7.02795591569597e-12,1.05085510829444e-07
"ENSG00000167513","ENSG00000167513",2.8569755931932,3.15452684422693,119.287847761925,1.89516204586017e-11,1.45780320969027e-07
"ENSG00000184661","ENSG00000184661",3.35856360820802,2.7560689364694,118.983725770388,1.94991233531553e-11,1.45780320969027e-07
"ENSG00000017483","ENSG00000017483",1.6924296078414,5.35087307431165,115.518173330135,2.70909089847327e-11,1.62030726637686e-07
"ENSG00000117399","ENSG00000117399",3.89269429811617,4.19498187612937,141.732520524408,3.92946219216623e-11,1.95850944761218e-07
"ENSG00000187837","ENSG00000187837",1.67239279494029,4.81705399070953,107.640023764316,5.90123003316642e-11,2.52108977345488e-07
"ENSG00000097021","ENSG00000097021",1.75888382004475,4.32386793561004,106.027552682972,6.95992336194617e-11,2.6017063517375e-07
"ENSG00000111206","ENSG00000111206",3.02997629599107,3.08316455614252,106.322043865932,8.65852820343012e-11,2.87703651026198e-07
"ENSG00000131153","ENSG00000131153",2.85020680442973,3.39824637813348,105.141397182887,1.26820952757601e-10,3.79258059221605e-07
"ENSG00000175063","ENSG00000175063",3.71074329530598,3.61839315284754,117.446646672134,1.41728932143512e-10,3.85309428704703e-07
"ENSG00000127564","ENSG00000127564",3.18652706248806,3.3397197772523,104.848058748544,2.12079967770652e-10,5.00185639724234e-07
"ENSG00000167900","ENSG00000167900",3.30597739636218,5.15292435499721,130.41086891887,2.17435656793681e-10,5.00185639724234e-07
"ENSG00000148773","ENSG00000148773",3.43199244296978,5.44025224867457,132.075813910892,2.57682694171651e-10,5.50428640657374e-07
"ENSG00000076003","ENSG00000076003",1.19153016694656,5.6189303485108,91.5703998037066,3.36755743614527e-10,6.71378700852829e-07
"ENSG00000065328","ENSG00000065328",3.72106729252642,3.18029233103597,102.713228119253,4.12907229768803e-10,7.12382827709221e-07
"ENSG00000166851","ENSG00000166851",3.88317088512781,3.92797989278087,113.795041871168,4.25371850823724e-10,7.12382827709221e-07
"ENSG00000157456","ENSG00000157456",3.66682755560205,3.68120997923464,108.027272553711,4.49548510189643e-10,7.12382827709221e-07
"ENSG00000171848","ENSG00000171848",4.1468358525765,6.00207154434176,132.039813069221,4.81330659369143e-10,7.12382827709221e-07
"ENSG00000145386","ENSG00000145386",3.88386535213148,3.92341004751952,112.532816291829,4.85036621417813e-10,7.12382827709221e-07
"ENSG00000075218","ENSG00000075218",3.22776130026658,2.54472589786175,89.6961359149197,5.00252111081547e-10,7.12382827709221e-07
"ENSG00000211637","ENSG00000211637",3.97403049324469,5.83842187608818,128.821995198759,5.49998180793477e-10,7.47622527119497e-07
"ENSG00000240864","ENSG00000240864",2.88981085443662,4.2288411705572,104.736307262314,5.93051796650508e-10,7.7109625994928e-07
"ENSG00000211962","ENSG00000211962",3.57922073282305,6.21209511335141,124.188247493366,6.98767277184332e-10,8.672545154721e-07
"ENSG00000088325","ENSG00000088325",3.2572491895411,4.21415937386047,106.963694898161,7.25007954750126e-10,8.672545154721e-07
"ENSG00000099958","ENSG00000099958",2.46490300567759,3.35988501373554,87.1446376294131,7.77695989033691e-10,8.94499944309713e-07
